sample	station	molecule	slope	site	paired_within_slope	paired_across_slope
EC_1A_D	1	DNA	AF	a	1	1
EC_1A_R	1	RNA	AF	a	1	1
EC_1B_D	1	DNA	AF	b	2	2
EC_1B_R	1	RNA	AF	b	2	2
EC_1C_D	1	DNA	AF	c	3	3
EC_1C_R	1	RNA	AF	c	3	3
EC_1D_D	1	DNA	AF	d	4	4
EC_1D_R	1	RNA	AF	d	4	4
EC_1E_D	1	DNA	AF	e	5	5
EC_1E_R	1	RNA	AF	e	5	5
EC_1F_D	1	DNA	AF	f	6	6
EC_1F_R	1	RNA	AF	f	6	6
EC_1G_D	1	DNA	AF	g	7	7
EC_1G_R	1	RNA	AF	g	7	7
EC_1H_D	1	DNA	AF	h	8	8
EC_1H_R	1	RNA	AF	h	8	8
EC_1I_D	1	DNA	AF	i	9	9
EC_1I_R	1	RNA	AF	i	9	9
EC_1J_D	1	DNA	AF	j	10	10
EC_1J_R	1	RNA	AF	j	10	10
EC_2A_D	2	DNA	AF	a	11	11
EC_2A_R	2	RNA	AF	a	11	11
EC_2B_D	2	DNA	AF	b	12	12
EC_2B_R	2	RNA	AF	b	12	12
EC_2C_D	2	DNA	AF	c	13	13
EC_2C_R	2	RNA	AF	c	13	13
EC_2D_D	2	DNA	AF	d	14	14
EC_2D_R	2	RNA	AF	d	14	14
EC_2E_D	2	DNA	AF	e	15	15
EC_2E_R	2	RNA	AF	e	15	15
EC_2F_D	2	DNA	AF	f	16	16
EC_2F_R	2	RNA	AF	f	16	16
EC_2G_D	2	DNA	AF	g	17	17
EC_2G_R	2	RNA	AF	g	17	17
EC_2H_D	2	DNA	AF	h	18	18
EC_2H_R	2	RNA	AF	h	18	18
EC_2I_D	2	DNA	AF	i	19	19
EC_2I_R	2	RNA	AF	i	19	19
EC_2J_D	2	DNA	AF	j	20	20
EC_2J_R	2	RNA	AF	j	20	20
EC_5A_D	5	DNA	EU	a	21	1
EC_5A_R	5	RNA	EU	a	21	1
EC_5B_D	5	DNA	EU	b	22	2
EC_5B_R	5	RNA	EU	b	22	2
EC_5C_D	5	DNA	EU	c	23	3
EC_5C_R	5	RNA	EU	c	23	3
EC_5D_D	5	DNA	EU	d	24	4
EC_5D_R	5	RNA	EU	d	24	4
EC_5E_D	5	DNA	EU	e	25	5
EC_5E_R	5	RNA	EU	e	25	5
EC_5F_D	5	DNA	EU	f	26	6
EC_5F_R	5	RNA	EU	f	26	6
EC_5G_D	5	DNA	EU	g	27	7
EC_5G_R	5	RNA	EU	g	27	7
EC_5H_D	5	DNA	EU	h	28	8
EC_5H_R	5	RNA	EU	h	28	8
EC_5I_D	5	DNA	EU	i	29	9
EC_5I_R	5	RNA	EU	i	29	9
EC_5J_D	5	DNA	EU	j	30	10
EC_5J_R	5	RNA	EU	j	30	10
EC_6A_D	6	DNA	EU	a	31	11
EC_6A_R	6	RNA	EU	a	31	11
EC_6B_D	6	DNA	EU	b	32	12
EC_6B_R	6	RNA	EU	b	32	12
EC_6C_D	6	DNA	EU	c	33	13
EC_6C_R	6	RNA	EU	c	33	13
EC_6D_D	6	DNA	EU	d	34	14
EC_6D_R	6	RNA	EU	d	34	14
EC_6E_D	6	DNA	EU	e	35	15
EC_6E_R	6	RNA	EU	e	35	15
EC_6F_D	6	DNA	EU	f	36	16
EC_6F_R	6	RNA	EU	f	36	16
EC_6G_D	6	DNA	EU	g	37	17
EC_6G_R	6	RNA	EU	g	37	17
EC_6H_D	6	DNA	EU	h	38	18
EC_6H_R	6	RNA	EU	h	38	18
EC_6I_D	6	DNA	EU	i	39	19
EC_6I_R	6	RNA	EU	i	39	19
EC_6J_D	6	DNA	EU	j	40	20
EC_6J_R	6	RNA	EU	j	40	20
